# This file is generated on 02-Oct-2023 at 12:35:58 and contains for each site, each satellite, frequency:
# att_comb_cdf_val = cdf value of total attenuation (dB); att_comb_cdf_prob = cdf probability of total attenuation(%).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Louvain-la-Neuve (Lat = 5.0670e+01 deg, Lon = 4.6100e+00 deg, Alt = 1.6000e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_comb_cdf_val (dB), att_comb_cdf_prob ()
1, 1, 3.9400e+01, 3.9301e+01, 1.0000e-02
1, 1, 3.9400e+01, 3.3740e+01, 1.6000e-02
1, 1, 3.9400e+01, 2.8125e+01, 2.7000e-02
1, 1, 3.9400e+01, 2.3293e+01, 4.5000e-02
1, 1, 3.9400e+01, 1.8932e+01, 7.7000e-02
1, 1, 3.9400e+01, 1.5267e+01, 1.3000e-01
1, 1, 3.9400e+01, 1.2379e+01, 2.1000e-01
1, 1, 3.9400e+01, 9.8464e+00, 3.5000e-01
1, 1, 3.9400e+01, 7.6683e+00, 6.0000e-01
1, 1, 3.9400e+01, 6.1881e+00, 9.5000e-01
1, 1, 3.9400e+01, 4.6863e+00, 1.7000e+00
1, 1, 3.9400e+01, 3.5416e+00, 3.0000e+00
1, 1, 3.9400e+01, 2.6811e+00, 5.1000e+00
1, 1, 3.9400e+01, 2.0269e+00, 8.3000e+00
1, 1, 3.9400e+01, 1.6112e+00, 1.2000e+01
1, 1, 3.9400e+01, 1.1689e+00, 1.9000e+01
1, 1, 3.9400e+01, 8.4463e-01, 3.0000e+01
1, 1, 3.9400e+01, 7.2323e-01, 4.0000e+01
1, 1, 3.9400e+01, 6.1640e-01, 5.5000e+01
1, 1, 3.9400e+01, 5.7251e-01, 7.2000e+01
1, 1, 3.9400e+01, 5.5491e-01, 9.0000e+01
1, 1, 3.9400e+01, 5.5030e-01, 9.9000e+01
1, 1, 3.9400e+01, 6.9674e+01, 1.0000e-03
1, 1, 3.9400e+01, 6.0579e+01, 2.0000e-03
1, 1, 3.9400e+01, 4.8202e+01, 5.0000e-03
1, 1, 3.9400e+01, 4.2089e+01, 8.0000e-03
1, 1, 3.9400e+01, 3.9301e+01, 1.0000e-02
1, 1, 3.9400e+01, 3.3740e+01, 1.6000e-02
1, 1, 3.9400e+01, 2.8125e+01, 2.7000e-02
1, 1, 3.9400e+01, 2.3293e+01, 4.5000e-02
1, 1, 3.9400e+01, 1.8932e+01, 7.7000e-02
1, 1, 3.9400e+01, 1.5267e+01, 1.3000e-01
1, 1, 3.9400e+01, 1.2379e+01, 2.1000e-01
1, 1, 3.9400e+01, 9.8464e+00, 3.5000e-01
1, 1, 3.9400e+01, 7.6683e+00, 6.0000e-01
1, 1, 3.9400e+01, 6.1881e+00, 9.5000e-01
1, 1, 3.9400e+01, 4.6863e+00, 1.7000e+00
1, 1, 3.9400e+01, 3.5416e+00, 3.0000e+00
1, 1, 3.9400e+01, 2.6811e+00, 5.1000e+00
1, 1, 3.9400e+01, 2.0269e+00, 8.3000e+00
1, 1, 3.9400e+01, 1.6112e+00, 1.2000e+01
1, 1, 3.9400e+01, 1.1689e+00, 1.9000e+01
1, 1, 3.9400e+01, 8.4463e-01, 3.0000e+01
1, 1, 3.9400e+01, 7.2323e-01, 4.0000e+01
1, 1, 3.9400e+01, 6.1640e-01, 5.5000e+01
1, 1, 3.9400e+01, 5.7251e-01, 7.2000e+01
1, 1, 3.9400e+01, 5.5491e-01, 9.0000e+01
1, 1, 3.9400e+01, 5.5030e-01, 9.9000e+01
1, 1, 3.9400e+01, 6.9674e+01, 1.0000e-03
1, 1, 3.9400e+01, 6.0579e+01, 2.0000e-03
1, 1, 3.9400e+01, 4.8202e+01, 5.0000e-03
1, 1, 3.9400e+01, 4.2089e+01, 8.0000e-03
1, 1, 3.9400e+01, 3.9301e+01, 1.0000e-02
1, 1, 3.9400e+01, 3.3740e+01, 1.6000e-02
1, 1, 3.9400e+01, 2.8125e+01, 2.7000e-02
1, 1, 3.9400e+01, 2.3293e+01, 4.5000e-02
1, 1, 3.9400e+01, 1.8932e+01, 7.7000e-02
1, 1, 3.9400e+01, 1.5267e+01, 1.3000e-01
1, 1, 3.9400e+01, 1.2379e+01, 2.1000e-01
1, 1, 3.9400e+01, 9.8464e+00, 3.5000e-01
1, 1, 3.9400e+01, 7.6683e+00, 6.0000e-01
1, 1, 3.9400e+01, 6.1881e+00, 9.5000e-01
1, 1, 3.9400e+01, 4.6863e+00, 1.7000e+00
1, 1, 3.9400e+01, 3.5416e+00, 3.0000e+00
1, 1, 3.9400e+01, 2.6811e+00, 5.1000e+00
1, 1, 3.9400e+01, 2.0269e+00, 8.3000e+00
1, 1, 3.9400e+01, 1.6112e+00, 1.2000e+01
1, 1, 3.9400e+01, 1.1689e+00, 1.9000e+01
1, 1, 3.9400e+01, 8.4463e-01, 3.0000e+01
1, 1, 3.9400e+01, 7.2323e-01, 4.0000e+01
1, 1, 3.9400e+01, 6.1640e-01, 5.5000e+01
1, 1, 3.9400e+01, 5.7251e-01, 7.2000e+01
1, 1, 3.9400e+01, 5.5491e-01, 9.0000e+01
1, 1, 3.9400e+01, 5.5030e-01, 9.9000e+01
1, 1, 3.9400e+01, 6.9674e+01, 1.0000e-03
1, 1, 3.9400e+01, 6.0579e+01, 2.0000e-03
1, 1, 3.9400e+01, 4.8202e+01, 5.0000e-03
1, 1, 3.9400e+01, 4.2089e+01, 8.0000e-03
1, 1, 3.9400e+01, 3.9301e+01, 1.0000e-02
1, 1, 3.9400e+01, 3.3740e+01, 1.6000e-02
1, 1, 3.9400e+01, 2.8125e+01, 2.7000e-02
1, 1, 3.9400e+01, 2.3293e+01, 4.5000e-02
1, 1, 3.9400e+01, 1.8932e+01, 7.7000e-02
1, 1, 3.9400e+01, 1.5267e+01, 1.3000e-01
1, 1, 3.9400e+01, 1.2379e+01, 2.1000e-01
1, 1, 3.9400e+01, 9.8464e+00, 3.5000e-01
1, 1, 3.9400e+01, 7.6683e+00, 6.0000e-01
1, 1, 3.9400e+01, 6.1881e+00, 9.5000e-01
1, 1, 3.9400e+01, 4.6863e+00, 1.7000e+00
1, 1, 3.9400e+01, 3.5416e+00, 3.0000e+00
1, 1, 3.9400e+01, 2.6811e+00, 5.1000e+00
1, 1, 3.9400e+01, 2.0269e+00, 8.3000e+00
1, 1, 3.9400e+01, 1.6112e+00, 1.2000e+01
1, 1, 3.9400e+01, 1.1689e+00, 1.9000e+01
1, 1, 3.9400e+01, 8.4463e-01, 3.0000e+01
1, 1, 3.9400e+01, 7.2323e-01, 4.0000e+01
1, 1, 3.9400e+01, 6.1640e-01, 5.5000e+01
1, 1, 3.9400e+01, 5.7251e-01, 7.2000e+01
1, 1, 3.9400e+01, 5.5491e-01, 9.0000e+01
1, 1, 3.9400e+01, 5.5030e-01, 9.9000e+01
1, 1, 3.9400e+01, 6.9674e+01, 1.0000e-03
1, 1, 3.9400e+01, 6.0579e+01, 2.0000e-03
1, 1, 3.9400e+01, 4.8202e+01, 5.0000e-03
1, 1, 3.9400e+01, 4.2089e+01, 8.0000e-03
1, 1, 3.9400e+01, 3.9301e+01, 1.0000e-02
1, 1, 3.9400e+01, 3.3740e+01, 1.6000e-02
1, 1, 3.9400e+01, 2.8125e+01, 2.7000e-02
1, 1, 3.9400e+01, 2.3293e+01, 4.5000e-02
1, 1, 3.9400e+01, 1.8932e+01, 7.7000e-02
1, 1, 3.9400e+01, 1.5267e+01, 1.3000e-01
1, 1, 3.9400e+01, 1.2379e+01, 2.1000e-01
1, 1, 3.9400e+01, 9.8464e+00, 3.5000e-01
1, 1, 3.9400e+01, 7.6683e+00, 6.0000e-01
1, 1, 3.9400e+01, 6.1881e+00, 9.5000e-01
1, 1, 3.9400e+01, 4.6863e+00, 1.7000e+00
1, 1, 3.9400e+01, 3.5416e+00, 3.0000e+00
1, 1, 3.9400e+01, 2.6811e+00, 5.1000e+00
1, 1, 3.9400e+01, 2.0269e+00, 8.3000e+00
1, 1, 3.9400e+01, 1.6112e+00, 1.2000e+01
1, 1, 3.9400e+01, 1.1689e+00, 1.9000e+01
1, 1, 3.9400e+01, 8.4463e-01, 3.0000e+01
1, 1, 3.9400e+01, 7.2323e-01, 4.0000e+01
1, 1, 3.9400e+01, 6.1640e-01, 5.5000e+01
1, 1, 3.9400e+01, 5.7251e-01, 7.2000e+01
1, 1, 3.9400e+01, 5.5491e-01, 9.0000e+01
1, 1, 3.9400e+01, 5.5030e-01, 9.9000e+01
1, 1, 3.9400e+01, 6.9674e+01, 1.0000e-03
1, 1, 3.9400e+01, 6.0579e+01, 2.0000e-03
1, 1, 3.9400e+01, 4.8202e+01, 5.0000e-03
1, 1, 3.9400e+01, 4.2089e+01, 8.0000e-03
1, 1, 3.9400e+01, 3.9301e+01, 1.0000e-02
1, 1, 3.9400e+01, 3.3740e+01, 1.6000e-02
1, 1, 3.9400e+01, 2.8125e+01, 2.7000e-02
1, 1, 3.9400e+01, 2.3293e+01, 4.5000e-02
1, 1, 3.9400e+01, 1.8932e+01, 7.7000e-02
1, 1, 3.9400e+01, 1.5267e+01, 1.3000e-01
1, 1, 3.9400e+01, 1.2379e+01, 2.1000e-01
1, 1, 3.9400e+01, 9.8464e+00, 3.5000e-01
1, 1, 3.9400e+01, 7.6683e+00, 6.0000e-01
1, 1, 3.9400e+01, 6.1881e+00, 9.5000e-01
1, 1, 3.9400e+01, 4.6863e+00, 1.7000e+00
1, 1, 3.9400e+01, 3.5416e+00, 3.0000e+00
1, 1, 3.9400e+01, 2.6811e+00, 5.1000e+00
1, 1, 3.9400e+01, 2.0269e+00, 8.3000e+00
1, 1, 3.9400e+01, 1.6112e+00, 1.2000e+01
1, 1, 3.9400e+01, 1.1689e+00, 1.9000e+01
1, 1, 3.9400e+01, 8.4463e-01, 3.0000e+01
1, 1, 3.9400e+01, 7.2323e-01, 4.0000e+01
1, 1, 3.9400e+01, 6.1640e-01, 5.5000e+01
1, 1, 3.9400e+01, 5.7251e-01, 7.2000e+01
1, 1, 3.9400e+01, 5.5491e-01, 9.0000e+01
1, 1, 3.9400e+01, 5.5030e-01, 9.9000e+01
1, 1, 3.9400e+01, 6.9674e+01, 1.0000e-03
1, 1, 3.9400e+01, 6.0579e+01, 2.0000e-03
1, 1, 3.9400e+01, 4.8202e+01, 5.0000e-03
1, 1, 3.9400e+01, 4.2089e+01, 8.0000e-03
1, 1, 3.9400e+01, 3.9301e+01, 1.0000e-02
1, 1, 3.9400e+01, 3.3740e+01, 1.6000e-02
1, 1, 3.9400e+01, 2.8125e+01, 2.7000e-02
1, 1, 3.9400e+01, 2.3293e+01, 4.5000e-02
1, 1, 3.9400e+01, 1.8932e+01, 7.7000e-02
1, 1, 3.9400e+01, 1.5267e+01, 1.3000e-01
1, 1, 3.9400e+01, 1.2379e+01, 2.1000e-01
1, 1, 3.9400e+01, 9.8464e+00, 3.5000e-01
1, 1, 3.9400e+01, 7.6683e+00, 6.0000e-01
1, 1, 3.9400e+01, 6.1881e+00, 9.5000e-01
1, 1, 3.9400e+01, 4.6863e+00, 1.7000e+00
1, 1, 3.9400e+01, 3.5416e+00, 3.0000e+00
1, 1, 3.9400e+01, 2.6811e+00, 5.1000e+00
1, 1, 3.9400e+01, 2.0269e+00, 8.3000e+00
1, 1, 3.9400e+01, 1.6112e+00, 1.2000e+01
1, 1, 3.9400e+01, 1.1689e+00, 1.9000e+01
1, 1, 3.9400e+01, 8.4463e-01, 3.0000e+01
1, 1, 3.9400e+01, 7.2323e-01, 4.0000e+01
1, 1, 3.9400e+01, 6.1640e-01, 5.5000e+01
1, 1, 3.9400e+01, 5.7251e-01, 7.2000e+01
1, 1, 3.9400e+01, 5.5491e-01, 9.0000e+01
1, 1, 3.9400e+01, 5.5030e-01, 9.9000e+01
1, 1, 3.9400e+01, 6.9674e+01, 1.0000e-03
1, 1, 3.9400e+01, 6.0579e+01, 2.0000e-03
1, 1, 3.9400e+01, 4.8202e+01, 5.0000e-03
1, 1, 3.9400e+01, 4.2089e+01, 8.0000e-03
1, 1, 3.9400e+01, 3.9301e+01, 1.0000e-02
1, 1, 3.9400e+01, 3.3740e+01, 1.6000e-02
1, 1, 3.9400e+01, 2.8125e+01, 2.7000e-02
1, 1, 3.9400e+01, 2.3293e+01, 4.5000e-02
1, 1, 3.9400e+01, 1.8932e+01, 7.7000e-02
1, 1, 3.9400e+01, 1.5267e+01, 1.3000e-01
1, 1, 3.9400e+01, 1.2379e+01, 2.1000e-01
1, 1, 3.9400e+01, 9.8464e+00, 3.5000e-01
1, 1, 3.9400e+01, 7.6683e+00, 6.0000e-01
1, 1, 3.9400e+01, 6.1881e+00, 9.5000e-01
1, 1, 3.9400e+01, 4.6863e+00, 1.7000e+00
1, 1, 3.9400e+01, 3.5416e+00, 3.0000e+00
1, 1, 3.9400e+01, 2.6811e+00, 5.1000e+00
1, 1, 3.9400e+01, 2.0269e+00, 8.3000e+00
1, 1, 3.9400e+01, 1.6112e+00, 1.2000e+01
1, 1, 3.9400e+01, 1.1689e+00, 1.9000e+01
1, 1, 3.9400e+01, 8.4463e-01, 3.0000e+01
1, 1, 3.9400e+01, 7.2323e-01, 4.0000e+01
1, 1, 3.9400e+01, 6.1640e-01, 5.5000e+01
1, 1, 3.9400e+01, 5.7251e-01, 7.2000e+01
1, 1, 3.9400e+01, 5.5491e-01, 9.0000e+01
1, 1, 3.9400e+01, 5.5030e-01, 9.9000e+01
1, 1, 3.9400e+01, 6.9674e+01, 1.0000e-03
1, 1, 3.9400e+01, 6.0579e+01, 2.0000e-03
1, 1, 3.9400e+01, 4.8202e+01, 5.0000e-03
1, 1, 3.9400e+01, 4.2089e+01, 8.0000e-03
1, 1, 3.9400e+01, 3.9301e+01, 1.0000e-02
1, 1, 3.9400e+01, 3.3740e+01, 1.6000e-02
1, 1, 3.9400e+01, 2.8125e+01, 2.7000e-02
1, 1, 3.9400e+01, 2.3293e+01, 4.5000e-02
1, 1, 3.9400e+01, 1.8932e+01, 7.7000e-02
1, 1, 3.9400e+01, 1.5267e+01, 1.3000e-01
1, 1, 3.9400e+01, 1.2379e+01, 2.1000e-01
1, 1, 3.9400e+01, 9.8464e+00, 3.5000e-01
1, 1, 3.9400e+01, 7.6683e+00, 6.0000e-01
1, 1, 3.9400e+01, 6.1881e+00, 9.5000e-01
1, 1, 3.9400e+01, 4.6863e+00, 1.7000e+00
1, 1, 3.9400e+01, 3.5416e+00, 3.0000e+00
1, 1, 3.9400e+01, 2.6811e+00, 5.1000e+00
1, 1, 3.9400e+01, 2.0269e+00, 8.3000e+00
1, 1, 3.9400e+01, 1.6112e+00, 1.2000e+01
1, 1, 3.9400e+01, 1.1689e+00, 1.9000e+01
1, 1, 3.9400e+01, 8.4463e-01, 3.0000e+01
1, 1, 3.9400e+01, 7.2323e-01, 4.0000e+01
1, 1, 3.9400e+01, 6.1640e-01, 5.5000e+01
1, 1, 3.9400e+01, 5.7251e-01, 7.2000e+01
1, 1, 3.9400e+01, 5.5491e-01, 9.0000e+01
1, 1, 3.9400e+01, 5.5030e-01, 9.9000e+01
1, 1, 3.9400e+01, 6.9674e+01, 1.0000e-03
1, 1, 3.9400e+01, 6.0579e+01, 2.0000e-03
1, 1, 3.9400e+01, 4.8202e+01, 5.0000e-03
1, 1, 3.9400e+01, 4.2089e+01, 8.0000e-03
1, 1, 3.9400e+01, 3.9301e+01, 1.0000e-02
1, 1, 3.9400e+01, 3.3740e+01, 1.6000e-02
1, 1, 3.9400e+01, 2.8125e+01, 2.7000e-02
1, 1, 3.9400e+01, 2.3293e+01, 4.5000e-02
1, 1, 3.9400e+01, 1.8932e+01, 7.7000e-02
1, 1, 3.9400e+01, 1.5267e+01, 1.3000e-01
1, 1, 3.9400e+01, 1.2379e+01, 2.1000e-01
1, 1, 3.9400e+01, 9.8464e+00, 3.5000e-01
1, 1, 3.9400e+01, 7.6683e+00, 6.0000e-01
1, 1, 3.9400e+01, 6.1881e+00, 9.5000e-01
1, 1, 3.9400e+01, 4.6863e+00, 1.7000e+00
1, 1, 3.9400e+01, 3.5416e+00, 3.0000e+00
1, 1, 3.9400e+01, 2.6811e+00, 5.1000e+00
1, 1, 3.9400e+01, 2.0269e+00, 8.3000e+00
1, 1, 3.9400e+01, 1.6112e+00, 1.2000e+01
1, 1, 3.9400e+01, 1.1689e+00, 1.9000e+01
1, 1, 3.9400e+01, 8.4463e-01, 3.0000e+01
1, 1, 3.9400e+01, 7.2323e-01, 4.0000e+01
1, 1, 3.9400e+01, 6.1640e-01, 5.5000e+01
1, 1, 3.9400e+01, 5.7251e-01, 7.2000e+01
1, 1, 3.9400e+01, 5.5491e-01, 9.0000e+01
1, 1, 3.9400e+01, 5.5030e-01, 9.9000e+01
1, 2, 3.9400e+01, 6.8667e+01, 1.0000e-03
1, 2, 3.9400e+01, 5.9660e+01, 2.0000e-03
1, 2, 3.9400e+01, 4.7417e+01, 5.0000e-03
1, 2, 3.9400e+01, 4.1375e+01, 8.0000e-03
1, 2, 3.9400e+01, 3.8621e+01, 1.0000e-02
1, 2, 3.9400e+01, 3.3128e+01, 1.6000e-02
1, 2, 3.9400e+01, 2.7584e+01, 2.7000e-02
1, 2, 3.9400e+01, 2.2817e+01, 4.5000e-02
1, 2, 3.9400e+01, 1.8515e+01, 7.7000e-02
1, 2, 3.9400e+01, 1.4906e+01, 1.3000e-01
1, 2, 3.9400e+01, 1.2068e+01, 2.1000e-01
1, 2, 3.9400e+01, 9.5806e+00, 3.5000e-01
1, 2, 3.9400e+01, 7.4454e+00, 6.0000e-01
1, 2, 3.9400e+01, 5.9960e+00, 9.5000e-01
1, 2, 3.9400e+01, 4.5289e+00, 1.7000e+00
1, 2, 3.9400e+01, 3.4139e+00, 3.0000e+00
1, 2, 3.9400e+01, 2.5789e+00, 5.1000e+00
1, 2, 3.9400e+01, 1.9464e+00, 8.3000e+00
1, 2, 3.9400e+01, 1.5456e+00, 1.2000e+01
1, 2, 3.9400e+01, 1.1203e+00, 1.9000e+01
1, 2, 3.9400e+01, 8.0878e-01, 3.0000e+01
1, 2, 3.9400e+01, 6.9175e-01, 4.0000e+01
1, 2, 3.9400e+01, 5.8878e-01, 5.5000e+01
1, 2, 3.9400e+01, 5.4584e-01, 7.2000e+01
1, 2, 3.9400e+01, 5.2803e-01, 9.0000e+01
1, 2, 3.9400e+01, 5.2316e-01, 9.9000e+01
1, 2, 3.9400e+01, 6.8667e+01, 1.0000e-03
1, 2, 3.9400e+01, 5.9660e+01, 2.0000e-03
1, 2, 3.9400e+01, 4.7417e+01, 5.0000e-03
1, 2, 3.9400e+01, 4.1375e+01, 8.0000e-03
1, 2, 3.9400e+01, 3.8621e+01, 1.0000e-02
1, 2, 3.9400e+01, 3.3128e+01, 1.6000e-02
1, 2, 3.9400e+01, 2.7584e+01, 2.7000e-02
1, 2, 3.9400e+01, 2.2817e+01, 4.5000e-02
1, 2, 3.9400e+01, 1.8515e+01, 7.7000e-02
1, 2, 3.9400e+01, 1.4906e+01, 1.3000e-01
1, 2, 3.9400e+01, 1.2068e+01, 2.1000e-01
1, 2, 3.9400e+01, 9.5806e+00, 3.5000e-01
1, 2, 3.9400e+01, 7.4454e+00, 6.0000e-01
1, 2, 3.9400e+01, 5.9960e+00, 9.5000e-01
1, 2, 3.9400e+01, 4.5289e+00, 1.7000e+00
1, 2, 3.9400e+01, 3.4139e+00, 3.0000e+00
1, 2, 3.9400e+01, 2.5789e+00, 5.1000e+00
1, 2, 3.9400e+01, 1.9464e+00, 8.3000e+00
1, 2, 3.9400e+01, 1.5456e+00, 1.2000e+01
1, 2, 3.9400e+01, 1.1203e+00, 1.9000e+01
1, 2, 3.9400e+01, 8.0878e-01, 3.0000e+01
1, 2, 3.9400e+01, 6.9175e-01, 4.0000e+01
1, 2, 3.9400e+01, 5.8878e-01, 5.5000e+01
1, 2, 3.9400e+01, 5.4584e-01, 7.2000e+01
1, 2, 3.9400e+01, 5.2803e-01, 9.0000e+01
1, 2, 3.9400e+01, 5.2316e-01, 9.9000e+01
1, 2, 3.9400e+01, 6.8667e+01, 1.0000e-03
1, 2, 3.9400e+01, 5.9660e+01, 2.0000e-03
1, 2, 3.9400e+01, 4.7417e+01, 5.0000e-03
1, 2, 3.9400e+01, 4.1375e+01, 8.0000e-03
1, 2, 3.9400e+01, 3.8621e+01, 1.0000e-02
1, 2, 3.9400e+01, 3.3128e+01, 1.6000e-02
1, 2, 3.9400e+01, 2.7584e+01, 2.7000e-02
1, 2, 3.9400e+01, 2.2817e+01, 4.5000e-02
1, 2, 3.9400e+01, 1.8515e+01, 7.7000e-02
1, 2, 3.9400e+01, 1.4906e+01, 1.3000e-01
1, 2, 3.9400e+01, 1.2068e+01, 2.1000e-01
1, 2, 3.9400e+01, 9.5806e+00, 3.5000e-01
1, 2, 3.9400e+01, 7.4454e+00, 6.0000e-01
1, 2, 3.9400e+01, 5.9960e+00, 9.5000e-01
1, 2, 3.9400e+01, 4.5289e+00, 1.7000e+00
1, 2, 3.9400e+01, 3.4139e+00, 3.0000e+00
1, 2, 3.9400e+01, 2.5789e+00, 5.1000e+00
1, 2, 3.9400e+01, 1.9464e+00, 8.3000e+00
1, 2, 3.9400e+01, 1.5456e+00, 1.2000e+01
1, 2, 3.9400e+01, 1.1203e+00, 1.9000e+01
1, 2, 3.9400e+01, 8.0878e-01, 3.0000e+01
1, 2, 3.9400e+01, 6.9175e-01, 4.0000e+01
1, 2, 3.9400e+01, 5.8878e-01, 5.5000e+01
1, 2, 3.9400e+01, 5.4584e-01, 7.2000e+01
1, 2, 3.9400e+01, 5.2803e-01, 9.0000e+01
1, 2, 3.9400e+01, 5.2316e-01, 9.9000e+01
1, 2, 3.9400e+01, 6.8667e+01, 1.0000e-03
1, 2, 3.9400e+01, 5.9660e+01, 2.0000e-03
1, 2, 3.9400e+01, 4.7417e+01, 5.0000e-03
1, 2, 3.9400e+01, 4.1375e+01, 8.0000e-03
1, 2, 3.9400e+01, 3.8621e+01, 1.0000e-02
1, 2, 3.9400e+01, 3.3128e+01, 1.6000e-02
1, 2, 3.9400e+01, 2.7584e+01, 2.7000e-02
1, 2, 3.9400e+01, 2.2817e+01, 4.5000e-02
1, 2, 3.9400e+01, 1.8515e+01, 7.7000e-02
1, 2, 3.9400e+01, 1.4906e+01, 1.3000e-01
1, 2, 3.9400e+01, 1.2068e+01, 2.1000e-01
1, 2, 3.9400e+01, 9.5806e+00, 3.5000e-01
1, 2, 3.9400e+01, 7.4454e+00, 6.0000e-01
1, 2, 3.9400e+01, 5.9960e+00, 9.5000e-01
1, 2, 3.9400e+01, 4.5289e+00, 1.7000e+00
1, 2, 3.9400e+01, 3.4139e+00, 3.0000e+00
1, 2, 3.9400e+01, 2.5789e+00, 5.1000e+00
1, 2, 3.9400e+01, 1.9464e+00, 8.3000e+00
1, 2, 3.9400e+01, 1.5456e+00, 1.2000e+01
1, 2, 3.9400e+01, 1.1203e+00, 1.9000e+01
1, 2, 3.9400e+01, 8.0878e-01, 3.0000e+01
1, 2, 3.9400e+01, 6.9175e-01, 4.0000e+01
1, 2, 3.9400e+01, 5.8878e-01, 5.5000e+01
1, 2, 3.9400e+01, 5.4584e-01, 7.2000e+01
1, 2, 3.9400e+01, 5.2803e-01, 9.0000e+01
1, 2, 3.9400e+01, 5.2316e-01, 9.9000e+01
1, 2, 3.9400e+01, 6.8667e+01, 1.0000e-03
1, 2, 3.9400e+01, 5.9660e+01, 2.0000e-03
1, 2, 3.9400e+01, 4.7417e+01, 5.0000e-03
1, 2, 3.9400e+01, 4.1375e+01, 8.0000e-03
1, 2, 3.9400e+01, 3.8621e+01, 1.0000e-02
1, 2, 3.9400e+01, 3.3128e+01, 1.6000e-02
1, 2, 3.9400e+01, 2.7584e+01, 2.7000e-02
1, 2, 3.9400e+01, 2.2817e+01, 4.5000e-02
1, 2, 3.9400e+01, 1.8515e+01, 7.7000e-02
1, 2, 3.9400e+01, 1.4906e+01, 1.3000e-01
1, 2, 3.9400e+01, 1.2068e+01, 2.1000e-01
1, 2, 3.9400e+01, 9.5806e+00, 3.5000e-01
1, 2, 3.9400e+01, 7.4454e+00, 6.0000e-01
1, 2, 3.9400e+01, 5.9960e+00, 9.5000e-01
1, 2, 3.9400e+01, 4.5289e+00, 1.7000e+00
1, 2, 3.9400e+01, 3.4139e+00, 3.0000e+00
1, 2, 3.9400e+01, 2.5789e+00, 5.1000e+00
1, 2, 3.9400e+01, 1.9464e+00, 8.3000e+00
1, 2, 3.9400e+01, 1.5456e+00, 1.2000e+01
1, 2, 3.9400e+01, 1.1203e+00, 1.9000e+01
1, 2, 3.9400e+01, 8.0878e-01, 3.0000e+01
1, 2, 3.9400e+01, 6.9175e-01, 4.0000e+01
1, 2, 3.9400e+01, 5.8878e-01, 5.5000e+01
1, 2, 3.9400e+01, 5.4584e-01, 7.2000e+01
1, 2, 3.9400e+01, 5.2803e-01, 9.0000e+01
1, 2, 3.9400e+01, 5.2316e-01, 9.9000e+01
1, 2, 3.9400e+01, 6.8667e+01, 1.0000e-03
1, 2, 3.9400e+01, 5.9660e+01, 2.0000e-03
1, 2, 3.9400e+01, 4.7417e+01, 5.0000e-03
1, 2, 3.9400e+01, 4.1375e+01, 8.0000e-03
1, 2, 3.9400e+01, 3.8621e+01, 1.0000e-02
1, 2, 3.9400e+01, 3.3128e+01, 1.6000e-02
1, 2, 3.9400e+01, 2.7584e+01, 2.7000e-02
1, 2, 3.9400e+01, 2.2817e+01, 4.5000e-02
1, 2, 3.9400e+01, 1.8515e+01, 7.7000e-02
1, 2, 3.9400e+01, 1.4906e+01, 1.3000e-01
1, 2, 3.9400e+01, 1.2068e+01, 2.1000e-01
1, 2, 3.9400e+01, 9.5806e+00, 3.5000e-01
1, 2, 3.9400e+01, 7.4454e+00, 6.0000e-01
1, 2, 3.9400e+01, 5.9960e+00, 9.5000e-01
1, 2, 3.9400e+01, 4.5289e+00, 1.7000e+00
1, 2, 3.9400e+01, 3.4139e+00, 3.0000e+00
1, 2, 3.9400e+01, 2.5789e+00, 5.1000e+00
1, 2, 3.9400e+01, 1.9464e+00, 8.3000e+00
1, 2, 3.9400e+01, 1.5456e+00, 1.2000e+01
1, 2, 3.9400e+01, 1.1203e+00, 1.9000e+01
1, 2, 3.9400e+01, 8.0878e-01, 3.0000e+01
1, 2, 3.9400e+01, 6.9175e-01, 4.0000e+01
1, 2, 3.9400e+01, 5.8878e-01, 5.5000e+01
1, 2, 3.9400e+01, 5.4584e-01, 7.2000e+01
1, 2, 3.9400e+01, 5.2803e-01, 9.0000e+01
1, 2, 3.9400e+01, 5.2316e-01, 9.9000e+01
1, 2, 3.9400e+01, 6.8667e+01, 1.0000e-03
1, 2, 3.9400e+01, 5.9660e+01, 2.0000e-03
1, 2, 3.9400e+01, 4.7417e+01, 5.0000e-03
1, 2, 3.9400e+01, 4.1375e+01, 8.0000e-03
1, 2, 3.9400e+01, 3.8621e+01, 1.0000e-02
1, 2, 3.9400e+01, 3.3128e+01, 1.6000e-02
1, 2, 3.9400e+01, 2.7584e+01, 2.7000e-02
1, 2, 3.9400e+01, 2.2817e+01, 4.5000e-02
1, 2, 3.9400e+01, 1.8515e+01, 7.7000e-02
1, 2, 3.9400e+01, 1.4906e+01, 1.3000e-01
1, 2, 3.9400e+01, 1.2068e+01, 2.1000e-01
1, 2, 3.9400e+01, 9.5806e+00, 3.5000e-01
1, 2, 3.9400e+01, 7.4454e+00, 6.0000e-01
1, 2, 3.9400e+01, 5.9960e+00, 9.5000e-01
1, 2, 3.9400e+01, 4.5289e+00, 1.7000e+00
1, 2, 3.9400e+01, 3.4139e+00, 3.0000e+00
1, 2, 3.9400e+01, 2.5789e+00, 5.1000e+00
