# This file is generated on 02-Oct-2023 at 12:27:51 and contains for each site, each satellite, frequency:
# att_cld_cdf_val = cdf value of attenuation due to clouds (dB); att_cld_cdf_prob = cdf probability of attenuation due to clouds (%).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Louvain-la-Neuve (Lat = 5.0670e+01 deg, Lon = 4.6100e+00 deg, Alt = 1.6000e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_cld_cdf_val (dB), att_cld_cdf_prob (%)
1, 1, 1.9700e+01, 7.4393e+00, 8.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 1.0000e-02
1, 1, 1.9700e+01, 7.4393e+00, 1.6000e-02
1, 1, 1.9700e+01, 7.4393e+00, 2.7000e-02
1, 1, 1.9700e+01, 7.4393e+00, 4.5000e-02
1, 1, 1.9700e+01, 7.4393e+00, 7.7000e-02
1, 1, 1.9700e+01, 7.1573e+00, 1.3000e-01
1, 1, 1.9700e+01, 6.6477e+00, 2.1000e-01
1, 1, 1.9700e+01, 6.1157e+00, 3.5000e-01
1, 1, 1.9700e+01, 5.4670e+00, 6.0000e-01
1, 1, 1.9700e+01, 4.9450e+00, 9.5000e-01
1, 1, 1.9700e+01, 4.2240e+00, 1.7000e+00
1, 1, 1.9700e+01, 3.4726e+00, 3.0000e+00
1, 1, 1.9700e+01, 2.7118e+00, 5.1000e+00
1, 1, 1.9700e+01, 1.9791e+00, 8.3000e+00
1, 1, 1.9700e+01, 1.4427e+00, 1.2000e+01
1, 1, 1.9700e+01, 7.9714e-01, 1.9000e+01
1, 1, 1.9700e+01, 3.1044e-01, 3.0000e+01
1, 1, 1.9700e+01, 1.6243e-01, 4.0000e+01
1, 1, 1.9700e+01, 2.7814e-02, 5.5000e+01
1, 1, 1.9700e+01, 0.0000e+00, 7.2000e+01
1, 1, 1.9700e+01, 0.0000e+00, 9.0000e+01
1, 1, 1.9700e+01, 0.0000e+00, 9.9000e+01
1, 1, 1.9700e+01, 7.4393e+00, 1.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 2.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 5.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 8.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 1.0000e-02
1, 1, 1.9700e+01, 7.4393e+00, 1.6000e-02
1, 1, 1.9700e+01, 7.4393e+00, 2.7000e-02
1, 1, 1.9700e+01, 7.4393e+00, 4.5000e-02
1, 1, 1.9700e+01, 7.4393e+00, 7.7000e-02
1, 1, 1.9700e+01, 7.1573e+00, 1.3000e-01
1, 1, 1.9700e+01, 6.6477e+00, 2.1000e-01
1, 1, 1.9700e+01, 6.1157e+00, 3.5000e-01
1, 1, 1.9700e+01, 5.4670e+00, 6.0000e-01
1, 1, 1.9700e+01, 4.9450e+00, 9.5000e-01
1, 1, 1.9700e+01, 4.2240e+00, 1.7000e+00
1, 1, 1.9700e+01, 3.4726e+00, 3.0000e+00
1, 1, 1.9700e+01, 2.7118e+00, 5.1000e+00
1, 1, 1.9700e+01, 1.9791e+00, 8.3000e+00
1, 1, 1.9700e+01, 1.4427e+00, 1.2000e+01
1, 1, 1.9700e+01, 7.9714e-01, 1.9000e+01
1, 1, 1.9700e+01, 3.1044e-01, 3.0000e+01
1, 1, 1.9700e+01, 1.6243e-01, 4.0000e+01
1, 1, 1.9700e+01, 2.7814e-02, 5.5000e+01
1, 1, 1.9700e+01, 0.0000e+00, 7.2000e+01
1, 1, 1.9700e+01, 0.0000e+00, 9.0000e+01
1, 1, 1.9700e+01, 0.0000e+00, 9.9000e+01
1, 1, 1.9700e+01, 7.4393e+00, 1.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 2.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 5.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 8.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 1.0000e-02
1, 1, 1.9700e+01, 7.4393e+00, 1.6000e-02
1, 1, 1.9700e+01, 7.4393e+00, 2.7000e-02
1, 1, 1.9700e+01, 7.4393e+00, 4.5000e-02
1, 1, 1.9700e+01, 7.4393e+00, 7.7000e-02
1, 1, 1.9700e+01, 7.1573e+00, 1.3000e-01
1, 1, 1.9700e+01, 6.6477e+00, 2.1000e-01
1, 1, 1.9700e+01, 6.1157e+00, 3.5000e-01
1, 1, 1.9700e+01, 5.4670e+00, 6.0000e-01
1, 1, 1.9700e+01, 4.9450e+00, 9.5000e-01
1, 1, 1.9700e+01, 4.2240e+00, 1.7000e+00
1, 1, 1.9700e+01, 3.4726e+00, 3.0000e+00
1, 1, 1.9700e+01, 2.7118e+00, 5.1000e+00
1, 1, 1.9700e+01, 1.9791e+00, 8.3000e+00
1, 1, 1.9700e+01, 1.4427e+00, 1.2000e+01
1, 1, 1.9700e+01, 7.9714e-01, 1.9000e+01
1, 1, 1.9700e+01, 3.1044e-01, 3.0000e+01
1, 1, 1.9700e+01, 1.6243e-01, 4.0000e+01
1, 1, 1.9700e+01, 2.7814e-02, 5.5000e+01
1, 1, 1.9700e+01, 0.0000e+00, 7.2000e+01
1, 1, 1.9700e+01, 0.0000e+00, 9.0000e+01
1, 1, 1.9700e+01, 0.0000e+00, 9.9000e+01
1, 1, 1.9700e+01, 7.4393e+00, 1.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 2.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 5.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 8.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 1.0000e-02
1, 1, 1.9700e+01, 7.4393e+00, 1.6000e-02
1, 1, 1.9700e+01, 7.4393e+00, 2.7000e-02
1, 1, 1.9700e+01, 7.4393e+00, 4.5000e-02
1, 1, 1.9700e+01, 7.4393e+00, 7.7000e-02
1, 1, 1.9700e+01, 7.1573e+00, 1.3000e-01
1, 1, 1.9700e+01, 6.6477e+00, 2.1000e-01
1, 1, 1.9700e+01, 6.1157e+00, 3.5000e-01
1, 1, 1.9700e+01, 5.4670e+00, 6.0000e-01
1, 1, 1.9700e+01, 4.9450e+00, 9.5000e-01
1, 1, 1.9700e+01, 4.2240e+00, 1.7000e+00
1, 1, 1.9700e+01, 3.4726e+00, 3.0000e+00
1, 1, 1.9700e+01, 2.7118e+00, 5.1000e+00
1, 1, 1.9700e+01, 1.9791e+00, 8.3000e+00
1, 1, 1.9700e+01, 1.4427e+00, 1.2000e+01
1, 1, 1.9700e+01, 7.9714e-01, 1.9000e+01
1, 1, 1.9700e+01, 3.1044e-01, 3.0000e+01
1, 1, 1.9700e+01, 1.6243e-01, 4.0000e+01
1, 1, 1.9700e+01, 2.7814e-02, 5.5000e+01
1, 1, 1.9700e+01, 0.0000e+00, 7.2000e+01
1, 1, 1.9700e+01, 0.0000e+00, 9.0000e+01
1, 1, 1.9700e+01, 0.0000e+00, 9.9000e+01
1, 1, 1.9700e+01, 7.4393e+00, 1.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 2.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 5.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 8.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 1.0000e-02
1, 1, 1.9700e+01, 7.4393e+00, 1.6000e-02
1, 1, 1.9700e+01, 7.4393e+00, 2.7000e-02
1, 1, 1.9700e+01, 7.4393e+00, 4.5000e-02
1, 1, 1.9700e+01, 7.4393e+00, 7.7000e-02
1, 1, 1.9700e+01, 7.1573e+00, 1.3000e-01
1, 1, 1.9700e+01, 6.6477e+00, 2.1000e-01
1, 1, 1.9700e+01, 6.1157e+00, 3.5000e-01
1, 1, 1.9700e+01, 5.4670e+00, 6.0000e-01
1, 1, 1.9700e+01, 4.9450e+00, 9.5000e-01
1, 1, 1.9700e+01, 4.2240e+00, 1.7000e+00
1, 1, 1.9700e+01, 3.4726e+00, 3.0000e+00
1, 1, 1.9700e+01, 2.7118e+00, 5.1000e+00
1, 1, 1.9700e+01, 1.9791e+00, 8.3000e+00
1, 1, 1.9700e+01, 1.4427e+00, 1.2000e+01
1, 1, 1.9700e+01, 7.9714e-01, 1.9000e+01
1, 1, 1.9700e+01, 3.1044e-01, 3.0000e+01
1, 1, 1.9700e+01, 1.6243e-01, 4.0000e+01
1, 1, 1.9700e+01, 2.7814e-02, 5.5000e+01
1, 1, 1.9700e+01, 0.0000e+00, 7.2000e+01
1, 1, 1.9700e+01, 0.0000e+00, 9.0000e+01
1, 1, 1.9700e+01, 0.0000e+00, 9.9000e+01
1, 1, 1.9700e+01, 7.4393e+00, 1.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 2.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 5.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 8.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 1.0000e-02
1, 1, 1.9700e+01, 7.4393e+00, 1.6000e-02
1, 1, 1.9700e+01, 7.4393e+00, 2.7000e-02
1, 1, 1.9700e+01, 7.4393e+00, 4.5000e-02
1, 1, 1.9700e+01, 7.4393e+00, 7.7000e-02
1, 1, 1.9700e+01, 7.1573e+00, 1.3000e-01
1, 1, 1.9700e+01, 6.6477e+00, 2.1000e-01
1, 1, 1.9700e+01, 6.1157e+00, 3.5000e-01
1, 1, 1.9700e+01, 5.4670e+00, 6.0000e-01
1, 1, 1.9700e+01, 4.9450e+00, 9.5000e-01
1, 1, 1.9700e+01, 4.2240e+00, 1.7000e+00
1, 1, 1.9700e+01, 3.4726e+00, 3.0000e+00
1, 1, 1.9700e+01, 2.7118e+00, 5.1000e+00
1, 1, 1.9700e+01, 1.9791e+00, 8.3000e+00
1, 1, 1.9700e+01, 1.4427e+00, 1.2000e+01
1, 1, 1.9700e+01, 7.9714e-01, 1.9000e+01
1, 1, 1.9700e+01, 3.1044e-01, 3.0000e+01
1, 1, 1.9700e+01, 1.6243e-01, 4.0000e+01
1, 1, 1.9700e+01, 2.7814e-02, 5.5000e+01
1, 1, 1.9700e+01, 0.0000e+00, 7.2000e+01
1, 1, 1.9700e+01, 0.0000e+00, 9.0000e+01
1, 1, 1.9700e+01, 0.0000e+00, 9.9000e+01
1, 1, 1.9700e+01, 7.4393e+00, 1.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 2.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 5.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 8.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 1.0000e-02
1, 1, 1.9700e+01, 7.4393e+00, 1.6000e-02
1, 1, 1.9700e+01, 7.4393e+00, 2.7000e-02
1, 1, 1.9700e+01, 7.4393e+00, 4.5000e-02
1, 1, 1.9700e+01, 7.4393e+00, 7.7000e-02
1, 1, 1.9700e+01, 7.1573e+00, 1.3000e-01
1, 1, 1.9700e+01, 6.6477e+00, 2.1000e-01
1, 1, 1.9700e+01, 6.1157e+00, 3.5000e-01
1, 1, 1.9700e+01, 5.4670e+00, 6.0000e-01
1, 1, 1.9700e+01, 4.9450e+00, 9.5000e-01
1, 1, 1.9700e+01, 4.2240e+00, 1.7000e+00
1, 1, 1.9700e+01, 3.4726e+00, 3.0000e+00
1, 1, 1.9700e+01, 2.7118e+00, 5.1000e+00
1, 1, 1.9700e+01, 1.9791e+00, 8.3000e+00
1, 1, 1.9700e+01, 1.4427e+00, 1.2000e+01
1, 1, 1.9700e+01, 7.9714e-01, 1.9000e+01
1, 1, 1.9700e+01, 3.1044e-01, 3.0000e+01
1, 1, 1.9700e+01, 1.6243e-01, 4.0000e+01
1, 1, 1.9700e+01, 2.7814e-02, 5.5000e+01
1, 1, 1.9700e+01, 0.0000e+00, 7.2000e+01
1, 1, 1.9700e+01, 0.0000e+00, 9.0000e+01
1, 1, 1.9700e+01, 0.0000e+00, 9.9000e+01
1, 1, 1.9700e+01, 7.4393e+00, 1.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 2.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 5.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 8.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 1.0000e-02
1, 1, 1.9700e+01, 7.4393e+00, 1.6000e-02
1, 1, 1.9700e+01, 7.4393e+00, 2.7000e-02
1, 1, 1.9700e+01, 7.4393e+00, 4.5000e-02
1, 1, 1.9700e+01, 7.4393e+00, 7.7000e-02
1, 1, 1.9700e+01, 7.1573e+00, 1.3000e-01
1, 1, 1.9700e+01, 6.6477e+00, 2.1000e-01
1, 1, 1.9700e+01, 6.1157e+00, 3.5000e-01
1, 1, 1.9700e+01, 5.4670e+00, 6.0000e-01
1, 1, 1.9700e+01, 4.9450e+00, 9.5000e-01
1, 1, 1.9700e+01, 4.2240e+00, 1.7000e+00
1, 1, 1.9700e+01, 3.4726e+00, 3.0000e+00
1, 1, 1.9700e+01, 2.7118e+00, 5.1000e+00
1, 1, 1.9700e+01, 1.9791e+00, 8.3000e+00
1, 1, 1.9700e+01, 1.4427e+00, 1.2000e+01
1, 1, 1.9700e+01, 7.9714e-01, 1.9000e+01
1, 1, 1.9700e+01, 3.1044e-01, 3.0000e+01
1, 1, 1.9700e+01, 1.6243e-01, 4.0000e+01
1, 1, 1.9700e+01, 2.7814e-02, 5.5000e+01
1, 1, 1.9700e+01, 0.0000e+00, 7.2000e+01
1, 1, 1.9700e+01, 0.0000e+00, 9.0000e+01
1, 1, 1.9700e+01, 0.0000e+00, 9.9000e+01
1, 1, 1.9700e+01, 7.4393e+00, 1.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 2.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 5.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 8.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 1.0000e-02
1, 1, 1.9700e+01, 7.4393e+00, 1.6000e-02
1, 1, 1.9700e+01, 7.4393e+00, 2.7000e-02
1, 1, 1.9700e+01, 7.4393e+00, 4.5000e-02
1, 1, 1.9700e+01, 7.4393e+00, 7.7000e-02
1, 1, 1.9700e+01, 7.1573e+00, 1.3000e-01
1, 1, 1.9700e+01, 6.6477e+00, 2.1000e-01
1, 1, 1.9700e+01, 6.1157e+00, 3.5000e-01
1, 1, 1.9700e+01, 5.4670e+00, 6.0000e-01
1, 1, 1.9700e+01, 4.9450e+00, 9.5000e-01
1, 1, 1.9700e+01, 4.2240e+00, 1.7000e+00
1, 1, 1.9700e+01, 3.4726e+00, 3.0000e+00
1, 1, 1.9700e+01, 2.7118e+00, 5.1000e+00
1, 1, 1.9700e+01, 1.9791e+00, 8.3000e+00
1, 1, 1.9700e+01, 1.4427e+00, 1.2000e+01
1, 1, 1.9700e+01, 7.9714e-01, 1.9000e+01
1, 1, 1.9700e+01, 3.1044e-01, 3.0000e+01
1, 1, 1.9700e+01, 1.6243e-01, 4.0000e+01
1, 1, 1.9700e+01, 2.7814e-02, 5.5000e+01
1, 1, 1.9700e+01, 0.0000e+00, 7.2000e+01
1, 1, 1.9700e+01, 0.0000e+00, 9.0000e+01
1, 1, 1.9700e+01, 0.0000e+00, 9.9000e+01
1, 1, 1.9700e+01, 7.4393e+00, 1.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 2.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 5.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 8.0000e-03
1, 1, 1.9700e+01, 7.4393e+00, 1.0000e-02
1, 1, 1.9700e+01, 7.4393e+00, 1.6000e-02
1, 1, 1.9700e+01, 7.4393e+00, 2.7000e-02
1, 1, 1.9700e+01, 7.4393e+00, 4.5000e-02
1, 1, 1.9700e+01, 7.4393e+00, 7.7000e-02
1, 1, 1.9700e+01, 7.1573e+00, 1.3000e-01
1, 1, 1.9700e+01, 6.6477e+00, 2.1000e-01
1, 1, 1.9700e+01, 6.1157e+00, 3.5000e-01
1, 1, 1.9700e+01, 5.4670e+00, 6.0000e-01
1, 1, 1.9700e+01, 4.9450e+00, 9.5000e-01
1, 1, 1.9700e+01, 4.2240e+00, 1.7000e+00
1, 1, 1.9700e+01, 3.4726e+00, 3.0000e+00
1, 1, 1.9700e+01, 2.7118e+00, 5.1000e+00
1, 1, 1.9700e+01, 1.9791e+00, 8.3000e+00
1, 1, 1.9700e+01, 1.4427e+00, 1.2000e+01
1, 1, 1.9700e+01, 7.9714e-01, 1.9000e+01
1, 1, 1.9700e+01, 3.1044e-01, 3.0000e+01
1, 1, 1.9700e+01, 1.6243e-01, 4.0000e+01
1, 1, 1.9700e+01, 2.7814e-02, 5.5000e+01
1, 1, 1.9700e+01, 0.0000e+00, 7.2000e+01
1, 1, 1.9700e+01, 0.0000e+00, 9.0000e+01
1, 1, 1.9700e+01, 0.0000e+00, 9.9000e+01
1, 2, 1.9700e+01, 3.7338e+00, 1.0000e-03
1, 2, 1.9700e+01, 3.7338e+00, 2.0000e-03
1, 2, 1.9700e+01, 3.7338e+00, 5.0000e-03
1, 2, 1.9700e+01, 3.7338e+00, 8.0000e-03
1, 2, 1.9700e+01, 3.7338e+00, 1.0000e-02
1, 2, 1.9700e+01, 3.7338e+00, 1.6000e-02
1, 2, 1.9700e+01, 3.7338e+00, 2.7000e-02
1, 2, 1.9700e+01, 3.7338e+00, 4.5000e-02
1, 2, 1.9700e+01, 3.7338e+00, 7.7000e-02
1, 2, 1.9700e+01, 3.5923e+00, 1.3000e-01
1, 2, 1.9700e+01, 3.3366e+00, 2.1000e-01
1, 2, 1.9700e+01, 3.0695e+00, 3.5000e-01
1, 2, 1.9700e+01, 2.7439e+00, 6.0000e-01
1, 2, 1.9700e+01, 2.4819e+00, 9.5000e-01
1, 2, 1.9700e+01, 2.1201e+00, 1.7000e+00
1, 2, 1.9700e+01, 1.7429e+00, 3.0000e+00
1, 2, 1.9700e+01, 1.3611e+00, 5.1000e+00
1, 2, 1.9700e+01, 9.9335e-01, 8.3000e+00
1, 2, 1.9700e+01, 7.2410e-01, 1.2000e+01
1, 2, 1.9700e+01, 4.0009e-01, 1.9000e+01
1, 2, 1.9700e+01, 1.5581e-01, 3.0000e+01
1, 2, 1.9700e+01, 8.1524e-02, 4.0000e+01
1, 2, 1.9700e+01, 1.3960e-02, 5.5000e+01
1, 2, 1.9700e+01, 0.0000e+00, 7.2000e+01
1, 2, 1.9700e+01, 0.0000e+00, 9.0000e+01
1, 2, 1.9700e+01, 0.0000e+00, 9.9000e+01
1, 2, 1.9700e+01, 3.7338e+00, 1.0000e-03
1, 2, 1.9700e+01, 3.7338e+00, 2.0000e-03
1, 2, 1.9700e+01, 3.7338e+00, 5.0000e-03
1, 2, 1.9700e+01, 3.7338e+00, 8.0000e-03
1, 2, 1.9700e+01, 3.7338e+00, 1.0000e-02
1, 2, 1.9700e+01, 3.7338e+00, 1.6000e-02
1, 2, 1.9700e+01, 3.7338e+00, 2.7000e-02
1, 2, 1.9700e+01, 3.7338e+00, 4.5000e-02
1, 2, 1.9700e+01, 3.7338e+00, 7.7000e-02
1, 2, 1.9700e+01, 3.5923e+00, 1.3000e-01
1, 2, 1.9700e+01, 3.3366e+00, 2.1000e-01
1, 2, 1.9700e+01, 3.0695e+00, 3.5000e-01
1, 2, 1.9700e+01, 2.7439e+00, 6.0000e-01
1, 2, 1.9700e+01, 2.4819e+00, 9.5000e-01
1, 2, 1.9700e+01, 2.1201e+00, 1.7000e+00
1, 2, 1.9700e+01, 1.7429e+00, 3.0000e+00
1, 2, 1.9700e+01, 1.3611e+00, 5.1000e+00
1, 2, 1.9700e+01, 9.9335e-01, 8.3000e+00
1, 2, 1.9700e+01, 7.2410e-01, 1.2000e+01
1, 2, 1.9700e+01, 4.0009e-01, 1.9000e+01
1, 2, 1.9700e+01, 1.5581e-01, 3.0000e+01
1, 2, 1.9700e+01, 8.1524e-02, 4.0000e+01
1, 2, 1.9700e+01, 1.3960e-02, 5.5000e+01
1, 2, 1.9700e+01, 0.0000e+00, 7.2000e+01
1, 2, 1.9700e+01, 0.0000e+00, 9.0000e+01
1, 2, 1.9700e+01, 0.0000e+00, 9.9000e+01
1, 2, 1.9700e+01, 3.7338e+00, 1.0000e-03
1, 2, 1.9700e+01, 3.7338e+00, 2.0000e-03
1, 2, 1.9700e+01, 3.7338e+00, 5.0000e-03
1, 2, 1.9700e+01, 3.7338e+00, 8.0000e-03
1, 2, 1.9700e+01, 3.7338e+00, 1.0000e-02
1, 2, 1.9700e+01, 3.7338e+00, 1.6000e-02
1, 2, 1.9700e+01, 3.7338e+00, 2.7000e-02
1, 2, 1.9700e+01, 3.7338e+00, 4.5000e-02
1, 2, 1.9700e+01, 3.7338e+00, 7.7000e-02
1, 2, 1.9700e+01, 3.5923e+00, 1.3000e-01
1, 2, 1.9700e+01, 3.3366e+00, 2.1000e-01
1, 2, 1.9700e+01, 3.0695e+00, 3.5000e-01
1, 2, 1.9700e+01, 2.7439e+00, 6.0000e-01
1, 2, 1.9700e+01, 2.4819e+00, 9.5000e-01
1, 2, 1.9700e+01, 2.1201e+00, 1.7000e+00
1, 2, 1.9700e+01, 1.7429e+00, 3.0000e+00
1, 2, 1.9700e+01, 1.3611e+00, 5.1000e+00
1, 2, 1.9700e+01, 9.9335e-01, 8.3000e+00
1, 2, 1.9700e+01, 7.2410e-01, 1.2000e+01
1, 2, 1.9700e+01, 4.0009e-01, 1.9000e+01
1, 2, 1.9700e+01, 1.5581e-01, 3.0000e+01
1, 2, 1.9700e+01, 8.1524e-02, 4.0000e+01
1, 2, 1.9700e+01, 1.3960e-02, 5.5000e+01
1, 2, 1.9700e+01, 0.0000e+00, 7.2000e+01
1, 2, 1.9700e+01, 0.0000e+00, 9.0000e+01
1, 2, 1.9700e+01, 0.0000e+00, 9.9000e+01
1, 2, 1.9700e+01, 3.7338e+00, 1.0000e-03
1, 2, 1.9700e+01, 3.7338e+00, 2.0000e-03
1, 2, 1.9700e+01, 3.7338e+00, 5.0000e-03
1, 2, 1.9700e+01, 3.7338e+00, 8.0000e-03
1, 2, 1.9700e+01, 3.7338e+00, 1.0000e-02
1, 2, 1.9700e+01, 3.7338e+00, 1.6000e-02
1, 2, 1.9700e+01, 3.7338e+00, 2.7000e-02
1, 2, 1.9700e+01, 3.7338e+00, 4.5000e-02
1, 2, 1.9700e+01, 3.7338e+00, 7.7000e-02
1, 2, 1.9700e+01, 3.5923e+00, 1.3000e-01
1, 2, 1.9700e+01, 3.3366e+00, 2.1000e-01
1, 2, 1.9700e+01, 3.0695e+00, 3.5000e-01
1, 2, 1.9700e+01, 2.7439e+00, 6.0000e-01
1, 2, 1.9700e+01, 2.4819e+00, 9.5000e-01
1, 2, 1.9700e+01, 2.1201e+00, 1.7000e+00
1, 2, 1.9700e+01, 1.7429e+00, 3.0000e+00
1, 2, 1.9700e+01, 1.3611e+00, 5.1000e+00
1, 2, 1.9700e+01, 9.9335e-01, 8.3000e+00
1, 2, 1.9700e+01, 7.2410e-01, 1.2000e+01
1, 2, 1.9700e+01, 4.0009e-01, 1.9000e+01
1, 2, 1.9700e+01, 1.5581e-01, 3.0000e+01
1, 2, 1.9700e+01, 8.1524e-02, 4.0000e+01
1, 2, 1.9700e+01, 1.3960e-02, 5.5000e+01
1, 2, 1.9700e+01, 0.0000e+00, 7.2000e+01
1, 2, 1.9700e+01, 0.0000e+00, 9.0000e+01
1, 2, 1.9700e+01, 0.0000e+00, 9.9000e+01
1, 2, 1.9700e+01, 3.7338e+00, 1.0000e-03
1, 2, 1.9700e+01, 3.7338e+00, 2.0000e-03
1, 2, 1.9700e+01, 3.7338e+00, 5.0000e-03
1, 2, 1.9700e+01, 3.7338e+00, 8.0000e-03
1, 2, 1.9700e+01, 3.7338e+00, 1.0000e-02
1, 2, 1.9700e+01, 3.7338e+00, 1.6000e-02
1, 2, 1.9700e+01, 3.7338e+00, 2.7000e-02
1, 2, 1.9700e+01, 3.7338e+00, 4.5000e-02
1, 2, 1.9700e+01, 3.7338e+00, 7.7000e-02
1, 2, 1.9700e+01, 3.5923e+00, 1.3000e-01
1, 2, 1.9700e+01, 3.3366e+00, 2.1000e-01
1, 2, 1.9700e+01, 3.0695e+00, 3.5000e-01
1, 2, 1.9700e+01, 2.7439e+00, 6.0000e-01
1, 2, 1.9700e+01, 2.4819e+00, 9.5000e-01
1, 2, 1.9700e+01, 2.1201e+00, 1.7000e+00
1, 2, 1.9700e+01, 1.7429e+00, 3.0000e+00
1, 2, 1.9700e+01, 1.3611e+00, 5.1000e+00
1, 2, 1.9700e+01, 9.9335e-01, 8.3000e+00
1, 2, 1.9700e+01, 7.2410e-01, 1.2000e+01
1, 2, 1.9700e+01, 4.0009e-01, 1.9000e+01
1, 2, 1.9700e+01, 1.5581e-01, 3.0000e+01
1, 2, 1.9700e+01, 8.1524e-02, 4.0000e+01
1, 2, 1.9700e+01, 1.3960e-02, 5.5000e+01
1, 2, 1.9700e+01, 0.0000e+00, 7.2000e+01
1, 2, 1.9700e+01, 0.0000e+00, 9.0000e+01
1, 2, 1.9700e+01, 0.0000e+00, 9.9000e+01
1, 2, 1.9700e+01, 3.7338e+00, 1.0000e-03
1, 2, 1.9700e+01, 3.7338e+00, 2.0000e-03
1, 2, 1.9700e+01, 3.7338e+00, 5.0000e-03
1, 2, 1.9700e+01, 3.7338e+00, 8.0000e-03
1, 2, 1.9700e+01, 3.7338e+00, 1.0000e-02
1, 2, 1.9700e+01, 3.7338e+00, 1.6000e-02
1, 2, 1.9700e+01, 3.7338e+00, 2.7000e-02
1, 2, 1.9700e+01, 3.7338e+00, 4.5000e-02
1, 2, 1.9700e+01, 3.7338e+00, 7.7000e-02
1, 2, 1.9700e+01, 3.5923e+00, 1.3000e-01
1, 2, 1.9700e+01, 3.3366e+00, 2.1000e-01
1, 2, 1.9700e+01, 3.0695e+00, 3.5000e-01
1, 2, 1.9700e+01, 2.7439e+00, 6.0000e-01
1, 2, 1.9700e+01, 2.4819e+00, 9.5000e-01
1, 2, 1.9700e+01, 2.1201e+00, 1.7000e+00
1, 2, 1.9700e+01, 1.7429e+00, 3.0000e+00
1, 2, 1.9700e+01, 1.3611e+00, 5.1000e+00
1, 2, 1.9700e+01, 9.9335e-01, 8.3000e+00
1, 2, 1.9700e+01, 7.2410e-01, 1.2000e+01
1, 2, 1.9700e+01, 4.0009e-01, 1.9000e+01
1, 2, 1.9700e+01, 1.5581e-01, 3.0000e+01
1, 2, 1.9700e+01, 8.1524e-02, 4.0000e+01
1, 2, 1.9700e+01, 1.3960e-02, 5.5000e+01
1, 2, 1.9700e+01, 0.0000e+00, 7.2000e+01
1, 2, 1.9700e+01, 0.0000e+00, 9.0000e+01
1, 2, 1.9700e+01, 0.0000e+00, 9.9000e+01
1, 2, 1.9700e+01, 3.7338e+00, 1.0000e-03
1, 2, 1.9700e+01, 3.7338e+00, 2.0000e-03
1, 2, 1.9700e+01, 3.7338e+00, 5.0000e-03
1, 2, 1.9700e+01, 3.7338e+00, 8.0000e-03
1, 2, 1.9700e+01, 3.7338e+00, 1.0000e-02
1, 2, 1.9700e+01, 3.7338e+00, 1.6000e-02
1, 2, 1.9700e+01, 3.7338e+00, 2.7000e-02
1, 2, 1.9700e+01, 3.7338e+00, 4.5000e-02
1, 2, 1.9700e+01, 3.7338e+00, 7.7000e-02
1, 2, 1.9700e+01, 3.5923e+00, 1.3000e-01
1, 2, 1.9700e+01, 3.3366e+00, 2.1000e-01
1, 2, 1.9700e+01, 3.0695e+00, 3.5000e-01
1, 2, 1.9700e+01, 2.7439e+00, 6.0000e-01
1, 2, 1.9700e+01, 2.4819e+00, 9.5000e-01
1, 2, 1.9700e+01, 2.1201e+00, 1.7000e+00
